Direccion,Latitud,Longitud,acumulado
129,calle 110 27 20,11.0426022,-74.8298106,1
130,calle 110 27 73,10.9509148,-74.8342695,2
131,calle 110 27 77,10.9495336,-74.8338647,1
132,calle 110 28,10.9509148,-74.8342695,2
133,calle 110 29,10.9509148,-74.8342695,1
134,calle 110 29 85,10.9509148,-74.8342695,1
135,calle 110 3,10.9509148,-74.8342695,1
136,calle 110 3 ,10.9509148,-74.8342695,4
137,calle 110 3 73,10.9509148,-74.8342695,1
138,calle 110 3 79,10.9509148,-74.8342695,2
139,calle 110 3 91,10.9509148,-74.8342695,1
140,calle 110 30,10.9509148,-74.8342695,1
141,calle 110 31,10.9509148,-74.8342695,17
142,calle 110 34,10.9509148,-74.8342695,1
143,calle 110 35,10.9509148,-74.8342695,1
144,calle 110 35 78,10.9509148,-74.8342695,1
145,calle 110 36,10.9509148,-74.8342695,14
146,calle 110 36 ,10.9509148,-74.8342695,1
147,calle 110 36 100,10.9509148,-74.8342695,1
148,calle 110 36 64,10.9509148,-74.8342695,1
149,calle 110 36134,10.9509148,-74.8342695,1
150,calle 110 37,10.9509148,-74.8342695,16
151,calle 110 37 109,10.9509148,-74.8342695,1
152,calle 110 37 83,10.9509148,-74.8342695,1
153,calle 110 38,10.9509148,-74.8342695,49
154,calle 110 38 101,10.9509148,-74.8342695,1
155,calle 110 38 1011,10.9495336,-74.8338647,2
156,calle 110 38 43,10.9509148,-74.8342695,1
157,calle 110 38 46,10.9509148,-74.8342695,4
158,calle 110 39,10.9509148,-74.8342695,3
159,calle 110 4,10.9509148,-74.8342695,3
160,calle 110 4 ,10.9509148,-74.8342695,3
161,calle 110 4 100,10.9509148,-74.8342695,1
162,calle 110 4 30,10.9509148,-74.8342695,1
163,calle 110 40,10.9509148,-74.8342695,4
164,calle 110 41 358,11.0426022,-74.8298106,2
165,calle 110 42,10.9509148,-74.8342695,1
166,calle 110 42 109,10.9509148,-74.8342695,1
167,calle 110 42 235,11.037904,-74.8269703,1
168,calle 110 43,10.9509148,-74.8342695,54
169,calle 110 43 ,10.9509148,-74.8342695,2
170,calle 110 43 109,10.9509148,-74.8342695,1
171,calle 110 43 180,10.9509148,-74.8342695,1
172,calle 110 43 30,10.9509148,-74.8342695,1
173,calle 110 43 38,10.9509148,-74.8342695,2
174,calle 110 43 46,10.9509148,-74.8342695,9
175,calle 110 43 59,10.9509148,-74.8342695,1
176,calle 110 43 80,10.9509148,-74.8342695,3
177,calle 110 43 91,10.9509148,-74.8342695,1
178,calle 110 43508,10.9509148,-74.8342695,1
179,calle 110 44,10.9509148,-74.8342695,1
180,calle 110 44 80,10.9509148,-74.8342695,1
181,calle 110 45,10.9509148,-74.8342695,1
182,calle 110 46,10.9509148,-74.8342695,24
183,calle 110 46 43,10.9509148,-74.8342695,3
184,calle 110 46 51,10.9509148,-74.8342695,1
185,calle 110 47,10.9509148,-74.8342695,1
186,calle 110 5,10.9509148,-74.8342695,2
187,calle 110 5 ,10.9509148,-74.8342695,2
188,calle 110 51,10.9509148,-74.8342695,2
189,calle 110 51 52,10.9509148,-74.8342695,2
190,calle 110 52,10.9509148,-74.8342695,2
191,calle 110 53,10.9509148,-74.8342695,10
192,calle 110 53 16,10.9509148,-74.8342695,1
193,calle 110 53 1670,10.9495336,-74.8338647,2
194,calle 110 53 40,10.9509148,-74.8342695,1
195,calle 110 53 52,10.9509148,-74.8342695,1
196,calle 110 55,10.9509148,-74.8342695,1
197,calle 110 6,10.9509148,-74.8342695,85
198,calle 110 6 ,10.9509148,-74.8342695,4
199,calle 110 6 04,10.9509148,-74.8342695,1
200,calle 110 6 137,10.9509148,-74.8342695,1
201,calle 110 6 22,10.9509148,-74.8342695,2
202,calle 110 6 26,10.9509148,-74.8342695,1
203,calle 110 6 36,10.9509148,-74.8342695,1
204,calle 110 6 381,10.9509148,-74.8342695,1
205,calle 110 6 40,10.9509148,-74.8342695,1
206,calle 110 6 400,10.9509148,-74.8342695,4
207,calle 110 6 522,10.9509148,-74.8342695,3
208,calle 110 6 6,10.9509148,-74.8342695,1
209,calle 110 60,10.9509148,-74.8342695,1
210,calle 110 61,10.9509148,-74.8342695,1
211,calle 110 64,10.9509148,-74.8342695,1
212,calle 110 65,10.9509148,-74.8342695,1
213,calle 110 66,10.9509148,-74.8342695,1
214,calle 110 67,10.9509148,-74.8342695,1
215,calle 110 7,10.9509148,-74.8342695,1
216,calle 110 70,10.9509148,-74.8342695,1
217,calle 110 75,10.9509148,-74.8342695,3
218,calle 110 76 4,10.9509148,-74.8342695,1
219,calle 110 82,10.9509148,-74.8342695,1
220,calle 110 85,10.9509148,-74.8342695,1
221,calle 110 9,10.9509148,-74.8342695,77
222,calle 110 9 390,10.9509148,-74.8342695,1
223,calle 110 9 680,11.0426022,-74.8298106,1
224,calle 110 9 72,10.9509148,-74.8342695,1
225,calle 110 90,10.9509148,-74.8342695,1
226,calle 110 90 202,10.9509148,-74.8342695,1
